BET_Name,TEDataIP,Parent_Interface
Voice1874-M01H-C-EG,10.42.219.82,ge-0/0/0
NZH3C8C8-M01H-C-EG,10.40.12.42,ge-0/0/6
NZH3C8C8-M02H-C-EG,10.40.12.43,ge-0/0/6
N3C8C9-M01H-C-EG,10.40.12.50,ge-0/0/7
N3C8C9-M02H-C-EG,10.40.12.51,ge-0/0/7
N3C10C10-M01H-C-EG,10.40.12.58,ge-0/0/8
N3C10C10-M02H-C-EG,10.40.12.59,ge-0/0/8
N3C10C11-M01H-C-EG,10.40.12.66,ge-0/0/9
N3C10C11-M02H-C-EG,10.40.12.67,ge-0/0/9
N3C12C12-M01H-C-EG,10.40.12.74,ge-0/1/0
N3C12C12-M02H-C-EG,10.40.12.75,ge-0/1/0
N3C12C13-M01H-C-EG,10.40.12.82,ge-0/1/1
N3C12C13-M02H-C-EG,10.40.12.83,ge-0/1/1
NOZHA3-M50H-C-EG,10.40.12.90,ge-0/1/3
NZA3C224-M01Z-C-EG,10.50.67.42,ge-0/1/7
NZHA3C47-M01H-C-EG,10.40.97.106,ge-0/2/1
NZHA3C96-M01H-C-EG,10.40.90.10,ge-0/2/2
NZHCB97-M01H-C-EG,10.41.50.146,ge-0/2/3
NZHA3C98-M01H-C-EG,10.40.90.34,ge-0/2/4
NZHA3C56-M01H-C-EG,10.40.178.226,ge-0/2/5
N3C11C58-M01H-C-EG,10.41.235.90,ge-0/2/6
N3C11C59-M01H-C-EG,10.41.235.98,ge-0/2/7
NZHA3C60-M01H-C-EG,10.41.235.106,ge-0/2/8
NZHA3C61-M01H-C-EG,10.41.235.114,ge-0/2/9
N3C11C67-M01H-C-EG,10.41.235.122,ge-0/3/0
NZHA3C62-M01H-C-EG,10.40.90.122,ge-0/3/1
NZHA3C63-M01H-C-EG,10.40.90.130,ge-0/3/2
NZHA3C64-M01H-C-EG,10.40.90.138,ge-0/3/3
NZHA3C65-M01H-C-EG,10.40.90.146,ge-0/3/4
NZHA3C66-M01H-C-EG,10.40.90.154,ge-0/3/5
NZHA3C99-M01H-C-EG,10.40.90.42,ge-0/3/6
NZH3C101-M01H-C-EG,10.40.90.58,ge-0/3/8
NZH3C103-M01H-C-EG,10.40.90.74,ge-1/0/0
NZHAC104-M01H-C-EG,10.40.90.82,ge-1/0/1
NZH3C105-M01H-C-EG,10.40.90.90,ge-1/0/2
NZH3C108-M01H-C-EG,10.40.90.114,ge-1/0/5
NZHCB49-M01H-C-EG,10.41.50.138,ge-1/0/8
NZHA3C50-M01H-C-EG,10.41.59.210,ge-1/0/9
NOZH3C51-M01H-C-EG,10.40.97.138,ge-1/1/0
NZHA3C52-M01H-C-EG,10.40.97.146,ge-1/1/1
NZHA3C53-M01H-C-EG,10.40.97.154,ge-1/1/2
NZHA3C54-M01H-C-EG,10.40.97.162,ge-1/1/3
NZHA3C55-M01H-C-EG,10.40.97.170,ge-1/1/4
NZHA3C92-M01H-C-EG,10.40.89.234,ge-1/1/5
NZHA3C48-M01H-C-EG,10.40.97.114,ge-1/1/6
NZHA3C79-M01H-C-EG,10.40.86.194,ge-1/1/7
NZH3C165-M01H-C-EG,10.50.66.202,ge-1/1/8
NZH3C166-M01H-C-EG,10.50.66.210,ge-1/1/9
NZHA3C57-M01H-C-EG,10.40.178.242,ge-1/2/0
NZHA3C77-M01H-C-EG,10.41.235.130,ge-1/2/1
NZHA3C78-M01H-C-EG,10.41.235.138,ge-1/2/2
NZH3CB80-M01H-C-EG,10.40.86.202,ge-1/2/4
NZHCB83-M01H-C-EG,10.40.89.2,ge-1/2/7
NZHA3C84-M01H-C-EG,10.40.89.10,ge-1/2/8
NZHA3C86-M01H-C-EG,10.41.50.122,ge-1/3/0
NZHA3C87-M01H-C-EG,10.40.89.186,ge-1/3/1
NZHA3C88-M01H-C-EG,10.40.89.194,ge-1/3/2
NZHA3C89-M01H-C-EG,10.41.9.130,ge-1/3/3
NZHA3C90-M01H-C-EG,10.40.89.218,ge-1/3/4
NZHA3C91-M01H-C-EG,10.40.89.226,ge-1/3/5
NZH3C167-M01H-C-EG,10.50.66.218,ge-1/3/6
NZHA3C93-M01H-C-EG,10.40.89.242,ge-1/3/7
NZHA3C94-M01H-C-EG,10.40.89.250,ge-1/3/8
NZHA3C95-M01H-C-EG,10.40.90.2,ge-1/3/9
Voice1724-M01H-C-EG,10.40.81.138,ae0
Voice1791-M02H-C-EG,10.40.81.139,ae0
MTHRC840-M01H-C-EG,10.40.127.146,ge-0/0/1
MTHRC840-M02H-C-EG,10.40.127.147,ge-0/0/1
MRTC810-M01H-C-EG,10.40.127.122,ge-0/0/2
MRTC810-M02H-C-EG,10.40.127.123,ge-0/0/2
MTHRC830-M01H-C-EG,10.40.127.138,ge-0/0/4
