_id,TE_ipaddress,TE_ifName
5f47fb0fbdb27375ccf3f317,10.41.158.74,gei_1/21/1
5f47fb0fbdb27375ccf3f319,10.41.226.10,ethernet0/10/0
5f47fb0fbdb27375ccf3f31c,10.42.50.170,ethernet0/10/0
5f47fb0fbdb27375ccf3f31d,10.42.50.194,ethernet0/9/0
5f47fb0fbdb27375ccf3f31e,10.41.105.50,ethernet0/9/0
5f47fb0fbdb27375ccf3f31f,10.41.107.226,ethernet0/9/0
5f47fb0fbdb27375ccf3f320,10.41.244.50,ethernet0/9/0
5f47fb0fbdb27375ccf3f322,10.41.69.10,ethernet0/10/0
5f47fb0fbdb27375ccf3f323,10.41.36.38,ethernet0/9/0
5f47fb0fbdb27375ccf3f325,10.41.105.34,ethernet0/10/0
5f47fb0fbdb27375ccf3f326,10.41.105.42,ethernet0/9/0
5f47fb0fbdb27375ccf3f327,10.40.127.34,ethernet0/10/0
5f47fb0fbdb27375ccf3f328,10.40.129.98,ethernet0/9/0
5f47fb0fbdb27375ccf3f329,10.40.216.138,ethernet0/10/2
5f47fb0fbdb27375ccf3f32b,10.50.241.106,ethernet0/9/0
5f47fb0fbdb27375ccf3f32c,10.40.29.115,ethernet0/9/0
5f47fb0fbdb27375ccf3f32d,10.40.94.18,ethernet0/9/0
5f47fb0fbdb27375ccf3f32e,10.40.129.58,ethernet0/9/3
5f47fb0fbdb27375ccf3f331,10.40.53.114,ethernet0/9/0
5f47fb0fbdb27375ccf3f332,10.40.54.170,ethernet0/10/0
5f47fb0fbdb27375ccf3f333,10.40.129.114,ethernet0/9/3
5f47fb0fbdb27375ccf3f334,10.40.129.154,ethernet0/9/0
5f47fb0fbdb27375ccf3f335,10.42.235.242,ethernet0/10/0
5f47fb0fbdb27375ccf3f336,10.40.241.58,ethernet0/9/0
5f47fb0fbdb27375ccf3f337,10.41.222.178,ethernet0/9/0
5f47fb0fbdb27375ccf3f338,10.42.91.2,ethernet0/9/0
5f47fb0fbdb27375ccf3f339,10.42.33.59,ethernet0/10/1
5f47fb0fbdb27375ccf3f33a,10.40.128.43,ethernet0/10/1
5f47fb0fbdb27375ccf3f33b,10.40.135.154,ethernet0/9/0
5f47fb0fbdb27375ccf3f33c,10.42.101.34,ethernet0/9/0
5f47fb0fbdb27375ccf3f33d,10.41.105.90,ethernet0/10/0
5f47fb0fbdb27375ccf3f341,10.40.226.138,ethernet0/9/0
5f47fb0fbdb27375ccf3f342,10.42.209.234,ethernet0/9/1
5f47fb0fbdb27375ccf3f343,10.40.93.74,ethernet0/10/0
5f47fb0fbdb27375ccf3f344,10.40.89.138,ethernet0/9/0
5f47fb0fbdb27375ccf3f345,10.42.81.18,ethernet0/9/0
5f47fb0fbdb27375ccf3f346,10.42.79.10,ethernet0/9/0
5f47fb0fbdb27375ccf3f347,10.40.103.10,ethernet0/9/0
5f47fb0fbdb27375ccf3f348,10.42.50.162,ethernet0/10/0
5f47fb0fbdb27375ccf3f34a,10.40.128.2,ethernet0/10/0
5f47fb0fbdb27375ccf3f34b,10.41.81.186,ethernet0/10/0
5f47fb0fbdb27375ccf3f34c,10.41.12.218,ethernet0/9/0
5f47fb0fbdb27375ccf3f34f,10.40.69.74,ethernet0/10/0
